댓글수,판매량,기간,순위1,순위2,순위3,순위4,순위5,순위6,순위7,순위8,순위9,순위10
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
73500,72800,30,0,0,0,1,0,0,0,0,0,0
84000,83201,30,0,0,1,0,0,0,0,0,0,0
94502,93600,30,0,1,0,0,0,0,0,0,0,0
105020,4000,30,1,0,0,0,0,0,0,0,0,0
1503,1401,30,0,0,0,0,0,0,0,0,0,1
21000,2802,30,0,0,0,0,0,0,0,0,1,0
31502,31200,30,0,0,0,0,0,0,0,1,0,0
42004,41600,30,0,0,0,0,0,0,1,0,0,0
52500,52010,30,0,0,0,0,0,1,0,0,0,0
63010,62405,30,0,0,0,0,1,0,0,0,0,0
